Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
TPB US Equity;TURNING POINT BRANDS INC;B+;US;Consumer Staples
NMFC US Equity;NEW MOUNTAIN FINANCE CORP;BBB-;US;Financials
601818 CH Equity;CHINA EVERBRIGHT BANK CO-A;BBB+;CH;Financials
2233 HK Equity;WEST CHINA CEMENT LTD;B;CH;Materials
STAG US Equity;STAG INDUSTRIAL INC;BBB;US;Real Estate
PRIO3 BZ Equity;PRIO SA;BB+;BZ;Energy
MUTH IN Equity;MUTHOOT FINANCE LTD;BB+;IN;Financials
THG LN Equity;THG PLC;B+;GB;Consumer Discretionary
DUBK QD Equity;DUKHAN BANK;A;QA;Financials
975 HK Equity;MONGOLIAN MINING CORP;B+;MJ;Materials
ICBP IJ Equity;INDOFOOD CBP SUKSES MAKMUR T;BBB;ID;Consumer Staples
TRGP US Equity;TARGA RESOURCES CORP;BBB;US;Energy
AAT US Equity;AMERICAN ASSETS TRUST INC;BBB;US;Real Estate
TBIG IJ Equity;TOWER BERSAMA INFRASTRUCTURE;BBB-;ID;Communication Services
LTF IN Equity;L&T FINANCE LTD;BBB-;IN;Financials
MINT SP Equity;MAPLETREE INDUSTRIAL TRUST;BBB+;SI;Real Estate
AVAP LN Equity;AVATION PLC;B;SI;Industrials
PEAN SW Equity;PEACH PROPERTY GROUP AG;B;SZ;Real Estate
MLG PW Equity;MLP GROUP SA;BB+;PD;Real Estate
XYZ US Equity;BLOCK INC;BBB-;US;Financials
KMI US Equity;KINDER MORGAN INC;BBB+;US;Energy
W US Equity;WAYFAIR INC- CLASS A;B;US;Consumer Discretionary
FBIN US Equity;FORTUNE BRANDS INNOVATIONS I;BBB;US;Industrials
JSWINFRA IN Equity;JSW INFRASTRUCTURE LTD;BBB-;IN;Industrials
EL RO Equity;SOCIETATEA ENERGETICA ELECTR;BBB-;RO;Utilities
KEGC KZ Equity;KAZAKHSTAN ELECTRICITY GRID;BBB;KZ;Utilities
6834377Z AX Equity;BANCO ANGOLANO DE INVESTIMEN;B-;AO;
TPG AU Equity;TPG TELECOM LTD;BBB;AU;Communication Services
TATACAP IN Equity;TATA CAPITAL LTD;BBB-;IN;Financials
RDOR3 BZ Equity;REDE D'OR SAO LUIZ SA;BB+;BZ;Health Care
UAN US Equity;CVR PARTNERS LP;B+;US;Materials
MPC US Equity;MARATHON PETROLEUM CORP;BBB;US;Energy
TSLX US Equity;SIXTH STREET SPECIALTY LENDI;BBB;US;Financials
1378 HK Equity;CHINA HONGQIAO GROUP LTD;BB+;CH;Materials
TEAD US Equity;TEADS HOLDING CO;CCC+;US;Communication Services
2282 HK Equity;MGM CHINA HOLDINGS LTD;BB-;U2;Consumer Discretionary
NGL US Equity;NGL ENERGY PARTNERS LP;B;US;Energy
EFN CN Equity;ELEMENT FLEET MANAGEMENT COR;BBB+;CA;Industrials
PGSUS TI Equity;PEGASUS HAVA TASIMACILIGI AS;BB-;TU;Industrials
RGYAS TI Equity;RONESANS GAYRIMENKUL YATIRIM;BB-;TU;Real Estate
FDUS US Equity;FIDUS INVESTMENT CORP;BBB-;US;Financials
HII US Equity;HUNTINGTON INGALLS INDUSTRIE;BBB;US;Industrials
MALLPLAZ CI Equity;PLAZA SA Y FILIALES;BBB;CL;Real Estate
ALSN US Equity;ALLISON TRANSMISSION HOLDING;BB+;US;Industrials
BRX US Equity;BRIXMOR PROPERTY GROUP INC;BBB;US;Real Estate
ARCO US Equity;ARCOS DORADOS HOLDINGS INC-A;BBB-;UR;Consumer Discretionary
BBLV ED Equity;BANCO BOLIVARIANO CA;CCC+;ED;
COFIDCC1 PE Equity;CORP FINANCIERA DE DESARROLL;BBB;PE;
TCPC US Equity;BLACKROCK TCP CAPITAL CORP;BB;US;Financials
CDW US Equity;CDW CORP/DE;BBB-;US;Information Technology
1910 HK Equity;SAMSONITE GROUP SA;BB+;US;Consumer Discretionary
USAC US Equity;USA COMPRESSION PARTNERS LP;BB;US;Energy
002911 CH Equity;FORAN ENERGY GROUP CO LTD-A;BBB+;CH;Utilities
5871 TT Equity;CHAILEASE HOLDING CO LTD;BBB-;TA;Financials
MRX US Equity;MAREX GROUP PLC;BBB-;GB;Financials
601669 CH Equity;POWER CONSTRUCTION CORP OF-A;A-;CH;Industrials
FSK US Equity;FS KKR CAPITAL CORP;BBB-;US;Financials
VTOL US Equity;BRISTOW GROUP INC;BB-;US;Energy
GEMS IJ Equity;GOLDEN ENERGY MINES TBK PT;BB-;ID;Energy
RAIZ4 BZ Equity;RAIZEN SA - PREFERENCE;CCC;BZ;Consumer Discretionary
EXIM UZ Equity;UKRAINIAN EXPORT-IMPORT BANK;CCC;UK;
PTTGC TB Equity;PTT GLOBAL CHEMICAL PCL;BBB-;TH;Materials
BANK UZ Equity;OSCHADBANK;CCC;UK;
CPRI US Equity;CAPRI HOLDINGS LTD;BB;GB;Consumer Discretionary
UBER US Equity;UBER TECHNOLOGIES INC;BBB+;US;Industrials
UNIT US Equity;UNITI GROUP INC;B-;US;Communication Services
GLMT MO Equity;GOLOMT BANK;B+;MJ;
HBSA3 BZ Equity;HIDROVIAS DO BRASIL SA;BB+;BZ;Industrials
PGEO IJ Equity;PERTAMINA GEOTHERMAL ENERGY;BBB-;ID;Utilities
POW VN Equity;PETROVIETNAM POWER CORP;BB+;VN;Utilities
VIPS US Equity;VIPSHOP HOLDINGS LTD - ADR;BBB;CH;Consumer Discretionary
FANG US Equity;DIAMONDBACK ENERGY INC;BBB+;US;Energy
IR US Equity;INGERSOLL-RAND INC;BBB+;US;Industrials
3329 HK Equity;BOCOM INTERNATIONAL HOLDINGS;A;HK;Financials
XAC MO Equity;XAC BANK LLC;B+;MJ;
GAS VN Equity;PETROVIETNAM GAS JSC;BB+;VN;Utilities
WARBABAN KK Equity;WARBA BANK KSCP;A;KU;Financials
UNI SM Equity;UNICAJA BANCO SA;BBB+;SP;Financials
AMUN FP Equity;AMUNDI SA;A+;FR;Financials
BINT CI Equity;BANCO INTERNACIONAL;BBB+;CL;Financials
SUN US Equity;SUNOCO LP;BB+;US;Energy
NWSA US Equity;NEWS CORP - CLASS A;BBB;US;Communication Services
MPLX US Equity;MPLX LP;BBB;US;Energy
ILC CI Equity;INVERSIONES LA CONSTRUCCION;BBB+;CL;Financials
DKL US Equity;DELEK LOGISTICS PARTNERS LP;B+;US;Energy
