Ticker,Short Name,NI / Profit T12M,SE End Pd LF,EBITDA T12M,EBIT T12M,Total Liab LF,FCF T12M,Tot Assets LF,Market Cap,P/E,Total Return YTD,Revenue T12M,EPS T12M,Tot Debt LF,Fitch Long Term Issuer Default Rating,Curr Liab LF,Curr Assets LF
ONGC IN Equity,OIL & NATURAL GA,362256236544.00,3742351228928.00,888607140000.00,536547490000.00,3577768731882.99,333833330000.00,7587231020000.00,3406739455416.94,9.69,18.79,6632623090000.00,28.80,1878173020000.00,BBB-,1668420060000.00,1347965420000.00
DTM US Equity,DT MIDSTREAM,441000000.00,4878000128.00,892000000.00,614000000.00,5202000000.00,441000000.00,10080000000.00,14398674220.05,32.82,18.27,1243000000.00,4.35,3372000000.00,BBB-,296000000.00,318000000.00
NTPC IN Equity,NTPC LTD,234224599040.00,1911226761216.00,545655300000.00,371643400000.00,3330419100000.00,-79434500000.00,5241645900000.00,3648370632917.50,15.75,16.36,1861446600000.00,24.16,2500961500000.00,BBB-,1010731600000.00,1117825000000.00
NST AU Equity,NORTHERN STAR RE,1547699968.00,15240099840.00,3767800000.00,2291300000.00,5457500000.00,202300000.00,20697600000.00,36211909982.62,21.50,-4.52,6960300000.00,1.18,1793900000.00,BBB-,1356100000.00,2362300000.00
IGD IM Equity,IMMOBILIARE GRAN,33115000.00,992545024.00,100044000.00,96153000.00,863894000.00,23498000.00,1856439000.00,413782136.25,13.11,13.40,131283000.00,0.30,799097000.00,BBB-,77383000.00,41431000.00
CEMEXCPO MM Equity,CEMEX SAB-CPO,959999008.00,13637999616.00,2296000000.00,1005000000.00,14772505537.47,1028000000.00,28279405474.41,295180469035.24,41.00,-5.66,16132000000.00,0.05,8298626707.89,BBB-,7347000000.00,6097000000.00
089860 KS Equity,LOTTE RENTAL CO,124807079936.00,1518084947968.00,1407098857142.86,312498000000.00,5747313710083.14,-62300000000.00,7281673101453.12,1136483844400.00,9.11,0.00,2918752000000.00,3436.97,4483703208725.00,BBB-,3150286444097.00,848413677641.00
GEB CB Equity,GRUPO ENERGIA BO,2609401004032.00,19389017489408.00,3451858000000.00,2417426000000.00,26603899000000.00,1972608000000.00,45992917000000.00,25477766222175.00,9.76,-6.57,8139835000000.00,284.21,19620272000000.00,BBB-,4551393000000.00,4648712000000.00
NXT US Equity,NEXTPOWER INC-A,592074000.00,2150870016.00,767505000.00,738987000.00,1648160750.00,587267000.00,3800066000.00,15059904755.49,25.59,16.44,3603215000.00,4.01,0.00,BBB-,1084772000.00,2559599000.00
SIG US Equity,SIGNET JEWELERS,145000000.00,1720800000.00,769500000.00,227400000.00,3710551173.97,591000000.00,5410800000.00,3692926800.34,9.86,9.91,6821100000.00,3.38,1152300000.00,BBB-,1712200000.00,2565800000.00
FTI US Equity,TECHNIPFMC PLC,963900000.00,3405299968.00,1989500000.00,1320200000.00,6712900000.00,1447400000.00,10118200000.00,25210831488.60,24.59,41.43,9932600000.00,2.35,1401700000.00,BBB-,4914800000.00,5545300000.00
FALAB CI Equity,FALABELLA SA,1347476766720.00,10169859702784.00,3269076371000.00,2813509554000.00,16643138864000.00,951363499000.00,26812998391000.00,15053820427388.70,11.17,-4.51,13304390450000.00,537.09,5465438615000.00,BBB-,6006150298000.00,13715811683000.00
ISA CB Equity,ISA SA,2420317945856.00,28306996985856.00,7922182000000.00,6841990000000.00,47823264000000.00,238883000000.00,76130262000000.00,31014981032000.00,12.81,13.54,15918005000000.00,2185.04,33790918000000.00,BBB-,4591465000000.00,11720344000000.00
INW IM Equity,INFRASTRUTTURE W,365286000.00,3597613056.00,968429000.00,576971000.00,5793670000.00,519420000.00,9391283000.00,7785940606.96,21.06,7.48,1070330000.00,0.40,3773047491.64,BBB-,666932000.00,273459000.00
DXC US Equity,DXC TECHNOLOGY C,423000000.00,3412999936.00,1840000000.00,333000000.00,9764000000.00,1105000000.00,13177000000.00,2198391520.85,8.22,-11.60,12683000000.00,2.37,3969500000.00,BBB-,3909000000.00,5270000000.00
PROMIG CB Equity,PROMIGAS SA ESP,1095355580416.00,6917983830016.00,2417176313000.00,1989074174000.00,13570513145000.00,692879149000.00,20488496839000.00,7263027475200.00,6.63,0.95,7591940725000.00,965.19,10693235828000.00,BBB-,3353583372000.00,3846396515000.00
DDS US Equity,DILLARDS INC-A,570161992.00,1779000064.00,869600000.00,688700000.00,1726000000.00,623600000.00,3505000000.00,9203843457.00,16.78,-2.78,6563300000.00,36.42,557600000.00,BBB-,902100000.00,2386600000.00
BKG LN Equity,BERKELEY GROUP,365000000.00,3599300096.00,490300000.00,486800000.00,2977900000.00,157700000.00,6577200000.00,3591628449.92,10.57,-0.15,2387100000.00,3.69,681700000.00,BBB-,1241700000.00,6002100000.00
TBIG IJ Equity,TOWER BERSAMA,1302532014080.00,10700912066560.00,5188292000000.00,3613038000000.00,34017910000000.00,1139068000000.00,44718822000000.00,32739364198025.00,24.76,-46.08,6903307000000.00,58.35,30694401000000.00,BBB-,16807091000000.00,2648137000000.00
MOL HB Equity,MOL,298053004288.00,4562392973312.00,1077782000000.00,436488000000.00,3631045000000.00,427665000000.00,8193438000000.00,3013861556175.07,9.78,25.17,8696283000000.00,376.11,1035591000000.00,BBB-,2050145000000.00,2569140000000.00
IOCL IN Equity,INDIAN OIL CORP,135978401792.00,1910246604800.00,383038500000.00,215265100000.00,3429524446423.78,-51084600000.00,5068670500000.00,2276626069345.10,17.09,1.33,7581058100000.00,9.87,1403075431640.49,BBB-,2306144100000.00,1576431500000.00
FMTY14 MM Equity,FIBRA MTY,190303008.00,30711437312.00,2730796000.00,2723744000.00,11883654000.00,2714294000.00,42595091000.00,35583732224.25,189.92,-2.58,3791563000.00,0.08,11311572000.00,BBB-,1088942000.00,5487347000.00
UTCEM IN Equity,ULTRATECH CEMENT,60391100416.00,738933604352.00,125574500000.00,85425000000.00,598037900000.00,3471700000.00,1336971500000.00,3352859607638.00,58.39,1.72,749364500000.00,205.30,183893891041.59,BBB-,323649700000.00,237372000000.00
LASITE* MM Equity,SITIOS LATINOAME,2289928960.00,12470016000.00,15525008000.00,7238045000.00,97479873000.00,6509588561.00,109949889000.00,26679096000.00,10.77,-2.42,16541806000.00,0.53,73582822000.00,BBB-,7218166000.00,6292863000.00
123 HK Equity,YUEXIU PROPERTY,578279936.00,111236333568.00,3970094000.00,3437489000.00,272437763000.00,19684591000.00,383674100000.00,16987157248.30,25.88,6.57,98634001000.00,0.14,99590388000.00,BBB-,188906844000.00,306731709000.00
AM US Equity,ANTERO MIDSTREAM,413163000.00,1972040960.00,778979000.00,644669000.00,3912075000.00,770209000.00,5884116000.00,10866670570.00,22.94,30.68,1188426000.00,0.86,3222530000.00,BBB-,111482000.00,379864000.00
ITV LN Equity,ITV PLC,220000000.00,1823000064.00,474000000.00,363000000.00,2462000000.00,176000000.00,4285000000.00,3254556465.66,14.26,2.31,3511000000.00,0.06,876000000.00,BBB-,1695000000.00,2193000000.00
UVV US Equity,UNIVERSAL CORP,85253000.00,1525174016.00,281597000.00,226172000.00,1492340000.00,52688000.00,3017514000.00,1319699113.20,15.30,1.90,2911506000.00,3.40,1113680000.00,BBB-,751447000.00,2183425000.00
VK FP Equity,VALLOUREC,356000000.00,2393999872.00,753000000.00,593000000.00,2488000000.00,385000000.00,4882000000.00,4546428911.75,12.63,22.37,3809000000.00,1.52,923000000.00,BBB-,1169000000.00,2698000000.00
KZTK KZ Equity,KAZAKHTELECOM,175241873408.00,720066314240.00,340386168000.00,233622858000.00,619390991000.00,-53808820000.00,1339457294000.00,475447518460.24,2.95,6.76,554087709000.00,15869.23,395602252000.00,BBB-,337326559000.00,222149348000.00
GAIL IN Equity,GAIL INDIA LTD,124498001920.00,852404797440.00,154318200000.00,116325900000.00,479082500000.00,71790800000.00,1331487300000.00,979558316722.28,8.23,-6.73,1422914200000.00,18.93,206232975000.00,BBB-,218995100000.00,215017000000.00
H US Equity,HYATT HOTELS-A,-52000000.00,3659000064.00,855000000.00,348000000.00,10993818000.00,159000000.00,14036000000.00,14136733485.00,73.00,-6.59,7101000000.00,-0.55,4558000000.00,BBB-,2894000000.00,2177000000.00
RRX US Equity,REGAL REXNORD CO,279600000.00,6853300224.00,1235800000.00,680800000.00,7067700000.00,893100000.00,13921000000.00,12402172043.00,34.63,32.91,5934500000.00,4.21,4941200000.00,BBB-,1264300000.00,2712300000.00
APA US Equity,APA CORP,1434000000.00,7002999808.00,5216000000.00,2912000000.00,10758000000.00,1805000000.00,17761000000.00,11544258235.68,8.08,34.91,8867000000.00,3.99,4813000000.00,BBB-,2571000000.00,2121000000.00
HPCL IN Equity,HINDUSTAN PETRO,67356999680.00,511442911232.00,170005900000.00,108464900000.00,1436003500000.00,10023600000.00,1947446400000.00,818254123130.23,12.79,-18.86,4320087400000.00,31.66,705582200000.00,BBB-,962777200000.00,577048400000.00
TPE PW Equity,TAURONPE,3692000000.00,20555999232.00,8061000000.00,5575000000.00,26201000000.00,1545000000.00,46757000000.00,17876003484.53,4.94,20.34,34991000000.00,2.10,14609000000.00,BBB-,9998000000.00,6122000000.00
SOBO CN Equity,SOUTH BOW CORP,332000000.00,2624000000.00,671000000.00,478000000.00,6339447732.07,168000000.00,11463000000.00,9469150780.64,21.03,20.45,2120000000.00,1.59,5751000000.00,BBB-,1714000000.00,2329000000.00
BHARTI IN Equity,BHARTI AIRTEL,303919001600.00,1690130972672.00,1151917000000.00,637984000000.00,3603925000000.00,648821000000.00,5294056000000.00,11426259741891.90,36.07,-11.15,2034658000000.00,51.86,2074616892776.29,BBB-,1736886000000.00,781100000000.00
BPCL IN Equity,BHARAT PETROL,133365497856.00,813840793600.00,257605300000.00,185038400000.00,1369981400000.00,93652100000.00,2183822200000.00,1436696065871.06,11.30,-5.63,4402718600000.00,31.21,611005700000.00,BBB-,906720000000.00,728322200000.00
LKQ US Equity,LKQ CORP,607000000.00,6560999936.00,1750000000.00,993000000.00,8380347191.63,847000000.00,15137000000.00,8029012442.49,11.68,4.21,13651000000.00,2.36,5092000000.00,BBB-,3137000000.00,5248000000.00
5871 TT Equity,CHAILEASE,19809839616.00,185039503360.00,41953000000.00,29685000000.00,772000971000.00,47238287220.02,1009857051874.34,170286405519.50,8.60,-5.69,97567377000.00,11.57,708751256678.83,BBB-,637386117000.00,697665943000.00
817 HK Equity,CHINA JINMAO HOL,1144880968.00,120765480960.00,5924469000.00,5189020000.00,323012012000.00,-15463715000.00,443777491000.00,19593076848.92,21.14,19.83,62190628000.00,0.06,127355494500.00,BBB-,182849420000.00,199699914000.00
ANE SM Equity,CORP ACCIONA ENE,655000000.00,6183000064.00,1543000000.00,953000000.00,8535000000.00,-596000000.00,14718000000.00,6394560606.14,9.87,-11.16,2925000000.00,2.02,4415000000.00,BBB-,1785000000.00,2263000000.00
ERF FP Equity,EUROFINS SCIEN,474800000.00,4576699904.00,1414000000.00,784500000.00,6408700000.00,832400000.00,10985400000.00,11468982313.22,24.50,3.49,7296100000.00,2.64,3739136170.17,BBB-,2429700000.00,2653500000.00
PWGR IN Equity,POWER GRID CORP,155214397440.00,926628118528.00,382261400000.00,253219900000.00,1501585990883.42,35342300000.00,2661071900000.00,2745538360901.56,17.92,14.33,440729200000.00,16.69,1287948095815.56,BBB-,402451200000.00,393763300000.00
WMG US Equity,WARNER MUSIC-A,305000000.00,824000000.00,1226000000.00,768000000.00,9182000000.00,663000000.00,10011000000.00,14542117317.12,18.17,-8.64,6881000000.00,0.58,4606000000.00,BBB-,4310000000.00,3018000000.00
CMCX LN Equity,CMC MARKETS PLC,62865000.00,425536000.00,100100000.00,85788000.00,341924000.00,123208000.00,767460000.00,895409481.60,14.13,9.20,329563000.00,0.23,19842000.00,BBB-,319055000.00,676743000.00
CLINT SP Equity,CAPITALAND INDIA,322489992.00,2089016064.00,233893000.00,228868000.00,2749274178.33,40438000.00,4866560402.61,1514506919.34,4.28,-12.73,294351000.00,0.24,1867581000.00,BBB-,998398000.00,1111286000.00
HXL US Equity,HEXCEL CORP,109400000.00,1250700032.00,293900000.00,171600000.00,1453300000.00,154500000.00,2704000000.00,6720601537.86,49.33,20.12,1893900000.00,1.39,1018700000.00,BBB-,322700000.00,730700000.00
FLO US Equity,FLOWERS FOODS,83825000.00,1303486976.00,433377000.00,173981000.00,2880374000.00,319090000.00,4183861000.00,1925144330.20,8.41,-14.09,5256479000.00,0.40,2080207000.00,BBB-,976157000.00,729094000.00
AVT US Equity,AVNET INC,207486000.00,4937933824.00,575110000.00,504931000.00,8215241000.00,217730000.00,13153175000.00,4915871168.35,18.50,25.59,23150745000.00,2.47,3167378000.00,BBB-,5333960000.00,11024246000.00
FRE GR Equity,FRESENIUS SE & C,1264000000.00,19766999040.00,3430000000.00,2310000000.00,21628000000.00,1882000000.00,41395000000.00,25824428291.02,20.17,-4.88,22873000000.00,2.24,13163360702.51,BBB-,8383000000.00,11027000000.00
XYZ US Equity,BLOCK INC,1305635984.00,22169882624.00,2133920000.00,1708406000.00,17380005000.00,2424676000.00,39549887000.00,39738037680.00,30.14,1.91,24193683000.00,2.14,8013086000.00,BBB-,10384460000.00,22856880000.00
MOLYMET CI Equity,MOLYMET,104530000.00,944486016.00,190147000.00,161862000.00,878733000.00,-73149000.00,1823219000.00,1439717465800.00,14.99,74.60,2473779000.00,0.79,506708000.00,BBB-,301279000.00,1278763000.00
VGP BB Equity,VGP,290438992.00,2490889984.00,331791000.00,321057000.00,2603319000.00,-123800000.00,5204123000.00,2595403729.56,9.39,1.42,150702000.00,10.64,2189303975.00,BBB-,384870000.00,682233000.00
GXO US Equity,GXO LOGISTIC,32000000.00,3015000064.00,1617000000.00,245000000.00,9247000000.00,110000000.00,12262000000.00,6396429165.04,31.95,5.93,13178000000.00,0.32,5854000000.00,BBB-,3875000000.00,3288000000.00
KOF FP Equity,KAUFMAN & BROAD,54210000.00,237582000.00,97266666.67,91000000.00,67700000.00,-23402524.86,1589705000.00,582950353.28,11.31,3.68,1135982000.00,2.74,56269000.00,BBB-,1220152000.00,1307272000.00
AR US Equity,ANTERO RESOURCES,634418008.00,7715649024.00,3308176000.00,883646000.00,5529758000.00,810808000.00,13245407000.00,11980025750.00,23.68,12.68,5275823000.00,2.05,3526520000.00,BBB-,1503313000.00,831780000.00
PR US Equity,PERMIAN RESOUR-A,935173968.00,11533883392.00,3952569000.00,1806812000.00,6378302000.00,1627933000.00,17912185000.00,15306453268.60,14.44,34.35,5679414000.00,1.31,3680196000.00,BBB-,1677832000.00,1312143000.00
ARCO US Equity,ARCOS DORADOS-A,245349992.00,746294976.00,546285000.00,357710000.00,2819870000.00,17682300.00,3566165000.00,1672664672.58,6.86,8.17,4555936000.00,1.17,2066697000.00,BBB-,732760000.00,649399000.00
SNX US Equity,TD SYNNEX CORP,827660000.00,8450428928.00,1943809000.00,1414919000.00,25800469000.00,1389422000.00,34250898000.00,12607548604.30,15.54,4.42,62508086000.00,10.04,5081982000.00,BBB-,20960840000.00,25289438000.00
WOR US Equity,WORTHINGTON ENTE,106016000.00,963022976.00,63325000.00,11970000.00,790310000.00,160707000.00,1753333000.00,2528362028.43,15.60,-1.05,1253567000.00,2.15,345669000.00,BBB-,199070000.00,648782000.00
ARW US Equity,ARROW ELECTRONIC,571265992.00,6658698752.00,1069073000.00,822223000.00,22454432000.00,-37205000.00,29078138000.00,7068281789.40,13.27,25.58,30852935000.00,11.04,3348314000.00,BBB-,18845398000.00,25660031000.00
EL RO Equity,ELECTRICA SA,1218867968.00,6937142784.00,2383333000.00,1782524000.00,11508915000.00,1260565000.00,18446058000.00,9388640431.07,7.99,8.16,10910254000.00,3.57,8127967000.00,BBB-,5766726000.00,9032010000.00
MINSURI1 PE Equity,MINSUR-INV,493557992.00,2500562944.00,1735501000.00,1252713000.00,2057430000.00,931184000.00,4557993000.00,18537705046.20,2.88,18.20,2382588000.00,0.50,1089766000.00,BBB-,929003000.00,1065119000.00
AU US Equity,ANGLOGOLD ASHANT,2636000000.00,9916000256.00,5711666666.67,4130000000.00,4899599663.14,3427000000.00,15078000000.00,53775471572.20,19.84,24.93,9893000000.00,5.22,2081666666.67,BBB-,1620000000.00,4647000000.00
JBL US Equity,JABIL INC,703000000.00,1347000064.00,2027000000.00,1268000000.00,17929000000.00,1185000000.00,19276000000.00,25457962921.03,26.88,5.76,31113000000.00,6.52,3368000000.00,BBB-,14548000000.00,14384000000.00
MTZ US Equity,MASTEC INC,399041992.00,3334521088.00,1996325000.00,652643000.00,6589021000.00,285729000.00,9923542000.00,22533152396.30,57.25,31.39,14299171000.00,5.13,2799171000.00,BBB-,3271045000.00,4329079000.00
HLE GR Equity,HELLA GMBH & CO,161477000.00,3119902976.00,877705000.00,270390000.00,4120789000.00,396317000.00,7240692000.00,8344444341.66,52.28,-7.87,7964344000.00,1.46,1142323000.00,BBB-,2625185000.00,3856621000.00
